,Train,Test,P value,Train GA,Test GA,P value GA
0,0.751984126984127,1.0,0.005,0.7242063492063492,1.0,0.111
1,0.7546296296296297,0.23809523809523808,0.01,0.75,0.6190476190476191,0.057
2,0.75,1.0,0.002,0.6858465608465608,1.0,0.067
3,0.7486772486772487,0.9047619047619048,0.001,0.6911375661375662,0.9523809523809523,0.108
4,0.75,0.6666666666666666,0.004,0.7513227513227513,0.6666666666666666,0.0
5,0.7579365079365079,0.5238095238095238,0.003,0.6051587301587301,0.8571428571428571,0.131
6,0.7513227513227513,1.0,0.003,0.6917989417989417,1.0,0.298
7,0.7486772486772487,0.9523809523809523,0.001,0.7341269841269841,0.9523809523809523,0.397
8,0.7619047619047619,0.42857142857142855,0.009,0.5753968253968254,1.0,0.112
9,0.7638888888888888,0.38095238095238093,0.001,0.5846560846560847,0.6190476190476191,0.002
10,0.7493386243386243,0.9523809523809523,0.002,0.7380952380952381,0.9523809523809523,0.0
11,0.7493386243386243,0.9523809523809523,0.008,0.7248677248677249,0.9523809523809523,0.782
12,0.75,0.8571428571428571,0.009,0.7533068783068783,0.8571428571428571,0.002
13,0.7599206349206349,0.19047619047619047,0.007,0.6891534391534392,1.0,0.026
14,0.7566137566137566,0.47619047619047616,0.046,0.626984126984127,0.8095238095238095,0.0
15,0.7619047619047619,0.0,0.241,0.5972222222222222,0.47619047619047616,0.0
16,0.7619047619047619,0.09523809523809523,0.007,0.5496031746031746,0.5238095238095238,0.692
17,0.75,0.9523809523809523,0.022,0.6931216931216931,0.8571428571428571,0.002
18,0.7559523809523809,0.8571428571428571,0.061,0.6554232804232805,1.0,0.017
19,0.75,1.0,0.005,0.746031746031746,1.0,0.392
20,0.751984126984127,0.9523809523809523,0.006,0.6554232804232805,0.9523809523809523,0.0
21,0.7559523809523809,0.9047619047619048,0.019,0.705026455026455,1.0,0.415
22,0.7526455026455027,0.9523809523809523,0.001,0.7314814814814815,0.9523809523809523,0.001
23,0.7506613756613757,1.0,0.013,0.6845238095238095,1.0,0.002
24,0.7486772486772487,1.0,0.028,0.6832010582010583,1.0,0.604
25,0.75,1.0,0.071,0.5972222222222222,1.0,0.007
26,0.7526455026455027,0.8571428571428571,0.025,0.5879629629629629,0.8571428571428571,0.0
27,0.7473544973544973,1.0,0.025,0.5694444444444444,1.0,0.285
28,0.7506613756613757,1.0,0.022,0.6957671957671958,1.0,0.0
29,0.748015873015873,1.0,0.009,0.7453703703703703,1.0,0.485
30,0.7572751322751323,0.2857142857142857,0.084,0.6812169312169312,0.7619047619047619,0.0
31,0.75,1.0,0.011,0.7056878306878307,1.0,0.0
32,0.751984126984127,0.7619047619047619,0.011,0.6984126984126984,1.0,0.04
33,0.7533068783068783,0.9523809523809523,0.0,0.6891534391534392,1.0,0.234
34,0.7526455026455027,1.0,0.011,0.746031746031746,1.0,0.654
35,0.7526455026455027,0.9047619047619048,0.008,0.6150793650793651,1.0,0.782
36,0.75,0.9523809523809523,0.011,0.6944444444444444,1.0,0.092
37,0.7493386243386243,0.8095238095238095,0.01,0.583994708994709,0.8571428571428571,0.841
38,0.7533068783068783,0.42857142857142855,0.571,0.6388888888888888,0.9047619047619048,0.0
39,0.7619047619047619,0.047619047619047616,0.024,0.5476190476190477,0.9523809523809523,0.011
40,0.7592592592592593,0.2857142857142857,0.053,0.5753968253968254,0.7142857142857143,0.021
41,0.7559523809523809,0.9047619047619048,0.162,0.6455026455026455,1.0,0.0
42,0.751984126984127,1.0,0.281,0.6474867724867724,1.0,0.899
43,0.7572751322751323,0.8571428571428571,0.172,0.7103174603174603,1.0,0.0
44,0.7579365079365079,0.9047619047619048,0.029,0.6415343915343915,1.0,0.881
45,0.7585978835978836,0.23809523809523808,0.161,0.7162698412698413,0.42857142857142855,0.078
46,0.7592592592592593,0.09523809523809523,0.174,0.6871693121693122,0.23809523809523808,0.143
47,0.7592592592592593,0.2857142857142857,0.102,0.6706349206349206,0.5238095238095238,0.0
48,0.753968253968254,0.2857142857142857,0.183,0.6541005291005291,0.38095238095238093,0.0
49,0.7526455026455027,0.6666666666666666,0.119,0.7301587301587301,0.9523809523809523,0.0
50,0.7533068783068783,0.47619047619047616,0.123,0.7387566137566137,0.7142857142857143,0.583
51,0.7552910052910053,0.38095238095238093,0.152,0.6415343915343915,0.47619047619047616,0.0
52,0.7506613756613757,0.5238095238095238,0.029,0.6058201058201058,0.8095238095238095,0.0
53,0.7546296296296297,0.9523809523809523,0.094,0.6693121693121693,1.0,0.0
54,0.7632275132275133,0.0,0.03,0.6302910052910053,0.23809523809523808,0.006
55,0.7579365079365079,0.0,0.08,0.4933862433862434,0.5238095238095238,0.113
56,0.7506613756613757,0.9047619047619048,0.017,0.6137566137566137,1.0,0.855
57,0.748015873015873,1.0,0.034,0.708994708994709,1.0,0.0
58,0.7433862433862434,0.9047619047619048,0.139,0.7195767195767195,0.8571428571428571,0.957
59,0.7566137566137566,0.23809523809523808,0.02,0.6494708994708994,0.2857142857142857,0.161
60,0.7493386243386243,0.9523809523809523,0.029,0.673941798941799,1.0,0.0
61,0.7513227513227513,0.9047619047619048,0.032,0.7414021164021164,0.9523809523809523,0.001
62,0.7698412698412699,0.2857142857142857,0.0,0.6732804232804233,0.8571428571428571,0.976
63,0.7698412698412699,0.09523809523809523,0.0,0.5462962962962963,1.0,0.0
64,0.7645502645502645,0.23809523809523808,0.0,0.6011904761904762,0.8095238095238095,0.0
65,0.7645502645502645,0.19047619047619047,0.0,0.6011904761904762,0.7142857142857143,0.397
66,0.7705026455026455,0.14285714285714285,0.001,0.5813492063492064,0.7142857142857143,0.001
67,0.7619047619047619,0.19047619047619047,0.006,0.6891534391534392,0.47619047619047616,0.993
68,0.7585978835978836,0.42857142857142855,0.0,0.5892857142857143,0.9047619047619048,0.993
69,0.7559523809523809,0.14285714285714285,0.0,0.6646825396825397,0.7619047619047619,0.99
70,0.7619047619047619,0.42857142857142855,0.001,0.5654761904761905,0.8095238095238095,0.562
71,0.7572751322751323,0.5714285714285714,0.0,0.6759259259259259,0.9523809523809523,0.372
72,0.7572751322751323,0.7619047619047619,0.0,0.582010582010582,0.9523809523809523,0.765
