,Train,Test,P value,Train GA,Test GA,P value GA
27,0.7473544973544973,1.0,0.029,0.6111111111111112,1.0,0.077
28,0.7506613756613757,1.0,0.02,0.6666666666666666,1.0,0.948
29,0.748015873015873,1.0,0.006,0.6620370370370371,1.0,0.998
30,0.7572751322751323,0.2857142857142857,0.079,0.546957671957672,0.23809523809523808,0.357
31,0.75,1.0,0.012,0.6686507936507936,1.0,0.0
32,0.751984126984127,0.7619047619047619,0.011,0.7235449735449735,0.9047619047619048,0.813
33,0.7533068783068783,0.9523809523809523,0.001,0.6825396825396826,1.0,0.001
34,0.7526455026455027,1.0,0.008,0.7354497354497355,1.0,0.092
35,0.7526455026455027,0.9047619047619048,0.011,0.6038359788359788,1.0,0.0
36,0.75,0.9523809523809523,0.021,0.7374338624338624,1.0,0.0
37,0.7493386243386243,0.8095238095238095,0.015,0.7321428571428571,0.9523809523809523,0.997
38,0.7533068783068783,0.42857142857142855,0.569,0.5548941798941799,1.0,0.0
39,0.7619047619047619,0.047619047619047616,0.014,0.5866402116402116,0.7619047619047619,0.133
40,0.7592592592592593,0.2857142857142857,0.064,0.6375661375661376,0.7619047619047619,0.0
41,0.7559523809523809,0.9047619047619048,0.184,0.6613756613756614,1.0,0.0
42,0.751984126984127,1.0,0.261,0.6871693121693122,1.0,0.0
43,0.7572751322751323,0.8571428571428571,0.148,0.5998677248677249,1.0,0.0
44,0.7579365079365079,0.9047619047619048,0.041,0.6038359788359788,1.0,0.041
45,0.7585978835978836,0.23809523809523808,0.148,0.5952380952380952,0.3333333333333333,0.021
46,0.7592592592592593,0.09523809523809523,0.183,0.503968253968254,0.3333333333333333,0.0
47,0.7592592592592593,0.2857142857142857,0.092,0.7175925925925926,0.5714285714285714,0.007
48,0.753968253968254,0.2857142857142857,0.17,0.6084656084656085,0.19047619047619047,0.0
49,0.7526455026455027,0.6666666666666666,0.123,0.6798941798941799,0.8571428571428571,0.0
50,0.7533068783068783,0.47619047619047616,0.132,0.628968253968254,0.6190476190476191,0.029
51,0.7552910052910053,0.38095238095238093,0.155,0.6183862433862434,0.38095238095238093,0.001
52,0.7506613756613757,0.5238095238095238,0.028,0.5932539682539683,0.7142857142857143,0.791
53,0.7546296296296297,0.9523809523809523,0.092,0.705026455026455,0.9523809523809523,0.091
54,0.7632275132275133,0.0,0.032,0.6732804232804233,0.2857142857142857,0.997
55,0.7579365079365079,0.0,0.075,0.5297619047619048,0.42857142857142855,0.218
56,0.7506613756613757,0.9047619047619048,0.014,0.6091269841269841,1.0,0.241
57,0.748015873015873,1.0,0.026,0.6759259259259259,1.0,0.773
58,0.7433862433862434,0.9047619047619048,0.122,0.6944444444444444,0.7619047619047619,0.0
59,0.7566137566137566,0.23809523809523808,0.021,0.7347883597883598,0.3333333333333333,0.944
60,0.7493386243386243,0.9523809523809523,0.015,0.6183862433862434,0.9523809523809523,0.0
61,0.7513227513227513,0.9047619047619048,0.027,0.6051587301587301,1.0,0.745
62,0.7698412698412699,0.2857142857142857,0.0,0.5132275132275133,0.8095238095238095,0.014
63,0.7698412698412699,0.09523809523809523,0.0,0.5436507936507936,0.8571428571428571,0.001
64,0.7645502645502645,0.23809523809523808,0.002,0.6435185185185185,0.8095238095238095,0.841
65,0.7645502645502645,0.19047619047619047,0.0,0.5548941798941799,0.8571428571428571,0.625
66,0.7705026455026455,0.14285714285714285,0.0,0.6322751322751323,0.7619047619047619,0.998
67,0.7619047619047619,0.19047619047619047,0.015,0.542989417989418,0.7619047619047619,0.0
68,0.7585978835978836,0.42857142857142855,0.0,0.6541005291005291,1.0,0.686
69,0.7559523809523809,0.14285714285714285,0.0,0.7394179894179894,0.9047619047619048,0.015
70,0.7619047619047619,0.42857142857142855,0.001,0.49007936507936506,0.9523809523809523,0.054
71,0.7572751322751323,0.5714285714285714,0.0,0.5720899470899471,1.0,0.0
72,0.7572751322751323,0.7619047619047619,0.002,0.667989417989418,1.0,0.996
