,Train,Test,P value,Train GA,Test GA,P value GA
0,0.9695207892882312,0.20606060606060606,0.0,0.7364341085271318,0.8484848484848485,1.0
1,0.9531442663378545,0.9573170731707317,0.0,0.8485115377840409,0.9939024390243902,0.958
2,0.9589499647639183,0.7090909090909091,0.001,0.6060606060606061,0.9878787878787879,0.944
3,0.9535129424194401,0.5185185185185185,0.0,0.6923754182074309,1.0,0.244
4,0.9505194576509949,0.8765432098765432,0.0,0.5597816516992429,1.0,0.704
5,0.9564834390415786,0.9939393939393939,0.0,0.505461592670895,1.0,0.003
6,0.9533286368439592,0.27607361963190186,0.142,0.8802395209580839,0.5950920245398773,0.0
7,0.9592195464932326,0.94,0.002,0.485146774477061,1.0,0.222
8,0.9621278844460102,0.5060975609756098,0.01,0.48035934472432623,1.0,0.13
9,0.9598450158506516,0.4171779141104294,0.0,0.8353293413173652,0.803680981595092,0.0
10,0.9570195525805884,1.0,0.063,0.48035934472432623,1.0,0.853
11,0.9577613516367476,0.2721518987341772,0.001,0.8544526575149595,0.6518987341772152,0.002
12,0.9556025369978859,1.0,0.062,0.4802677942212826,1.0,0.81
13,0.9568661971830986,0.83125,0.005,0.6419014084507042,1.0,1.0
14,0.9591261451726568,0.7212121212121212,0.001,0.6597956307258633,0.8181818181818182,1.0
15,0.9528002817893625,1.0,0.0,0.8547023599859105,1.0,0.0
16,0.9492600422832981,1.0,0.0,0.5905567300916138,1.0,0.998
17,0.9538407329105003,0.9757575757575757,0.0,0.48273431994362226,1.0,0.079
18,0.9575405214940098,0.896969696969697,0.002,0.640415785764623,0.0,1.0
19,0.9537198742577716,1.0,0.0,0.6316800558854349,1.0,1.0
20,0.9511251758087201,0.881578947368421,0.0,0.8537271448663853,0.7763157894736842,0.0
21,0.9538407329105003,0.6242424242424243,0.0,0.5419309372797745,0.10303030303030303,0.403
22,0.9545454545454546,0.21818181818181817,0.0,0.7903453136011276,0.030303030303030304,0.34
23,0.956338028169014,0.48125,0.0,0.5033450704225352,0.0,0.656
24,0.9575480007045974,0.6524390243902439,0.002,0.8115201691033996,0.024390243902439025,0.775
25,0.9645939756913863,0.2073170731707317,0.0,0.8673595208737009,0.042682926829268296,0.0
26,0.9545454545454546,1.0,0.0,0.9173713883016209,0.9636363636363636,0.079
27,0.9511980267794221,0.9515151515151515,0.0,0.7182875264270613,0.42424242424242425,0.081
28,0.9552501761804087,1.0,0.0,0.92353770260747,1.0,0.0
29,0.9612403100775194,0.6424242424242425,0.0,0.8638125440451022,0.3090909090909091,0.0
30,0.9589499647639183,0.23636363636363636,0.0,0.8551797040169133,0.16363636363636364,0.592
31,0.954369274136716,1.0,0.0,0.8181818181818182,0.9575757575757575,0.0
32,0.9513913349771046,1.0,0.0,0.8893976752377598,1.0,0.0
33,0.9529598308668076,0.9030303030303031,0.0,0.9085623678646935,0.5757575757575758,0.857
34,0.9515759816869167,0.7222222222222222,0.0,0.5638316605036098,0.1728395061728395,0.457
35,0.9533121916842847,1.0,0.0,0.8419661733615222,1.0,0.472
36,0.9540169133192389,1.0,0.0,0.724277660324172,1.0,0.059
37,0.9554499031519633,0.7160493827160493,0.0,0.7987321711568938,0.654320987654321,0.0
38,0.9605425400739828,0.7378048780487805,0.0,0.7983089660031707,0.4573170731707317,1.0
39,0.9568434032059187,0.8048780487804879,0.0,0.8064118372379778,0.6646341463414634,0.0
