,Train,Test,P value,Train GA,Test GA,P value GA
0,0.9695207892882312,0.20606060606060606,0.0,0.4813248766737139,1.0,0.248
1,0.9531442663378545,0.9573170731707317,0.001,0.5215782983970407,1.0,0.996
2,0.9589499647639183,0.7090909090909091,0.0,0.5505637773079634,1.0,0.007
3,0.9535129424194401,0.5185185185185185,0.0,0.500616305687621,1.0,0.069
4,0.9505194576509949,0.8765432098765432,0.0,0.4847684451487938,1.0,0.074
5,0.9564834390415786,0.9939393939393939,0.0,0.4843199436222692,1.0,0.301
6,0.9533286368439592,0.27607361963190186,0.164,0.5008805917576612,1.0,0.067
7,0.9592195464932326,0.94,0.002,0.48672877482861665,1.0,0.181
8,0.9621278844460102,0.5060975609756098,0.006,0.5051964065527568,1.0,0.158
9,0.9598450158506516,0.4171779141104294,0.0,0.49260302923564636,1.0,0.88
10,0.9570195525805884,1.0,0.061,0.48053549409899593,1.0,0.874
11,0.9577613516367476,0.2721518987341772,0.0,0.48416050686378037,1.0,0.141
12,0.9556025369978859,1.0,0.064,0.4802677942212826,1.0,0.782
13,0.9568661971830986,0.83125,0.003,0.4933098591549296,1.0,0.055
14,0.9591261451726568,0.7212121212121212,0.001,0.5088090204369274,1.0,0.002
15,0.9528002817893625,1.0,0.0,0.48133145473758365,1.0,0.305
16,0.9492600422832981,1.0,0.0,0.4807963354474982,1.0,0.29
17,0.9538407329105003,0.9757575757575757,0.0,0.4927766032417195,1.0,0.032
18,0.9575405214940098,0.896969696969697,0.001,0.4987667371388302,1.0,0.92
19,0.9537198742577716,1.0,0.0,0.48533007334963324,1.0,0.555
20,0.9511251758087201,0.881578947368421,0.0,0.9018987341772152,0.9671052631578947,0.0
21,0.9538407329105003,0.6242424242424243,0.0,0.8310429880197322,0.7757575757575758,0.0
22,0.9545454545454546,0.21818181818181817,0.0,0.8627554615926709,0.12121212121212122,0.509
23,0.956338028169014,0.48125,0.0,0.882218309859155,0.24375,0.001
24,0.9575480007045974,0.6524390243902439,0.003,0.8892020433327462,0.7621951219512195,0.0
25,0.9645939756913863,0.2073170731707317,0.0,0.8134578122247667,0.20121951219512196,0.216
26,0.9545454545454546,1.0,0.0,0.9441508104298802,0.9757575757575757,0.006
27,0.9511980267794221,0.9515151515151515,0.0,0.9170190274841438,1.0,0.0
28,0.9552501761804087,1.0,0.0,0.9189570119802678,1.0,0.069
29,0.9612403100775194,0.6424242424242425,0.0,0.8729739252995067,0.509090909090909,0.053
30,0.9589499647639183,0.23636363636363636,0.0,0.6217406624383368,0.4484848484848485,0.91
31,0.954369274136716,1.0,0.0,0.9090909090909091,0.9939393939393939,0.0
32,0.9513913349771046,1.0,0.0,0.8592814371257484,1.0,0.0
33,0.9529598308668076,0.9030303030303031,0.0,0.8879492600422833,0.806060606060606,0.009
34,0.9515759816869167,0.7222222222222222,0.0,0.8999823912660679,0.8827160493827161,0.0
35,0.9533121916842847,1.0,0.0,0.7052501761804087,1.0,0.0
36,0.9540169133192389,1.0,0.0,0.884954193093728,1.0,0.077
37,0.9554499031519633,0.7160493827160493,0.0,0.7298820214826554,0.9814814814814815,1.0
38,0.9605425400739828,0.7378048780487805,0.0,0.9464505901004051,0.6158536585365854,0.139
39,0.9568434032059187,0.8048780487804879,0.0,0.9429276026070107,0.6524390243902439,0.161
