,Train,Test,P value,Train GA,Test GA,P value GA
0,0.751984126984127,1.0,0.002,0.6825396825396826,0.9523809523809523,0.276
1,0.7546296296296297,0.23809523809523808,0.013,0.6732804232804233,0.7619047619047619,0.999
2,0.75,1.0,0.005,0.6276455026455027,1.0,0.147
3,0.7486772486772487,0.9047619047619048,0.0,0.7427248677248677,0.9047619047619048,0.001
4,0.75,0.6666666666666666,0.002,0.7493386243386243,0.6190476190476191,0.0
5,0.7579365079365079,0.5238095238095238,0.006,0.5529100529100529,0.9523809523809523,0.785
6,0.7513227513227513,1.0,0.0,0.6693121693121693,1.0,0.003
7,0.7486772486772487,0.9523809523809523,0.002,0.7566137566137566,0.9047619047619048,0.001
8,0.7619047619047619,0.42857142857142855,0.01,0.6375661375661376,1.0,0.921
9,0.7638888888888888,0.38095238095238093,0.0,0.7083333333333334,0.38095238095238093,0.029
10,0.7493386243386243,0.9523809523809523,0.005,0.7592592592592593,0.9523809523809523,0.0
11,0.7493386243386243,0.9523809523809523,0.008,0.7473544973544973,0.8571428571428571,0.084
12,0.75,0.8571428571428571,0.01,0.7533068783068783,0.9047619047619048,0.204
13,0.7599206349206349,0.19047619047619047,0.009,0.6236772486772487,1.0,0.951
14,0.7566137566137566,0.47619047619047616,0.059,0.6534391534391535,0.8095238095238095,0.043
15,0.7619047619047619,0.0,0.232,0.5674603174603174,0.38095238095238093,0.397
16,0.7619047619047619,0.09523809523809523,0.007,0.546957671957672,0.47619047619047616,0.027
17,0.75,0.9523809523809523,0.035,0.751984126984127,1.0,0.003
18,0.7559523809523809,0.8571428571428571,0.062,0.703042328042328,1.0,0.0
19,0.75,1.0,0.008,0.591931216931217,1.0,0.549
20,0.751984126984127,0.9523809523809523,0.005,0.5879629629629629,1.0,0.9
21,0.7559523809523809,0.9047619047619048,0.017,0.658068783068783,1.0,0.132
22,0.7526455026455027,0.9523809523809523,0.0,0.7447089947089947,1.0,0.245
23,0.7506613756613757,1.0,0.011,0.7341269841269841,1.0,0.0
24,0.7486772486772487,1.0,0.037,0.6527777777777778,1.0,0.027
25,0.75,1.0,0.052,0.7466931216931217,1.0,0.0
26,0.7526455026455027,0.8571428571428571,0.018,0.667989417989418,0.8571428571428571,0.116
27,0.7473544973544973,1.0,0.026,0.7341269841269841,1.0,0.0
28,0.7506613756613757,1.0,0.022,0.7466931216931217,1.0,0.0
29,0.748015873015873,1.0,0.011,0.7513227513227513,1.0,0.22
