,Train,Test,Train GA,Test GA
0,0.751984126984127,1.0,0.6369047619047619,1.0
1,0.7546296296296297,0.23809523809523808,0.6752645502645502,0.6190476190476191
2,0.75,1.0,0.6904761904761905,1.0
3,0.7486772486772487,0.9047619047619048,0.6666666666666666,1.0
4,0.75,0.6666666666666666,0.6917989417989417,0.8571428571428571
5,0.7579365079365079,0.5238095238095238,0.6812169312169312,0.8571428571428571
6,0.7513227513227513,1.0,0.6620370370370371,1.0
7,0.7486772486772487,0.9523809523809523,0.7129629629629629,0.9523809523809523
8,0.7619047619047619,0.42857142857142855,0.6474867724867724,1.0
9,0.7638888888888888,0.38095238095238093,0.667989417989418,0.42857142857142855
10,0.7493386243386243,0.9523809523809523,0.6970899470899471,1.0
11,0.7493386243386243,0.9523809523809523,0.7083333333333334,1.0
12,0.75,0.8571428571428571,0.6779100529100529,1.0
13,0.7599206349206349,0.19047619047619047,0.6415343915343915,0.7619047619047619
14,0.7566137566137566,0.47619047619047616,0.5694444444444444,0.7619047619047619
15,0.7619047619047619,0.0,0.626984126984127,0.3333333333333333
16,0.7619047619047619,0.09523809523809523,0.6501322751322751,0.5238095238095238
17,0.75,0.9523809523809523,0.6673280423280423,0.8571428571428571
18,0.7559523809523809,0.8571428571428571,0.6097883597883598,1.0
19,0.75,1.0,0.501984126984127,1.0
20,0.751984126984127,0.9523809523809523,0.708994708994709,0.9523809523809523
21,0.7559523809523809,0.9047619047619048,0.707010582010582,1.0
22,0.7526455026455027,0.9523809523809523,0.7096560846560847,0.9523809523809523
23,0.7506613756613757,1.0,0.705026455026455,1.0
24,0.7486772486772487,1.0,0.6620370370370371,1.0
25,0.75,1.0,0.6937830687830688,1.0
26,0.7526455026455027,0.8571428571428571,0.6256613756613757,0.8571428571428571
27,0.7473544973544973,1.0,0.6812169312169312,1.0
28,0.7506613756613757,1.0,0.5687830687830688,1.0
29,0.748015873015873,1.0,0.7076719576719577,1.0
30,0.7572751322751323,0.2857142857142857,0.5965608465608465,0.9047619047619048
31,0.75,1.0,0.6825396825396826,1.0
32,0.751984126984127,0.7619047619047619,0.6309523809523809,0.8571428571428571
33,0.7533068783068783,0.9523809523809523,0.6673280423280423,1.0
34,0.7526455026455027,1.0,0.7129629629629629,1.0
35,0.7526455026455027,0.9047619047619048,0.5978835978835979,1.0
36,0.75,0.9523809523809523,0.6812169312169312,1.0
37,0.7493386243386243,0.8095238095238095,0.7116402116402116,1.0
38,0.7533068783068783,0.42857142857142855,0.6587301587301587,0.9523809523809523
39,0.7619047619047619,0.047619047619047616,0.5317460317460317,0.7619047619047619
40,0.7592592592592593,0.2857142857142857,0.5178571428571429,1.0
41,0.7559523809523809,0.9047619047619048,0.6058201058201058,0.9047619047619048
42,0.751984126984127,1.0,0.6481481481481481,1.0
43,0.7572751322751323,0.8571428571428571,0.6779100529100529,0.9047619047619048
44,0.7579365079365079,0.9047619047619048,0.6375661375661376,1.0
45,0.7585978835978836,0.23809523809523808,0.4966931216931217,0.7619047619047619
46,0.7592592592592593,0.09523809523809523,0.5079365079365079,0.7619047619047619
47,0.7592592592592593,0.2857142857142857,0.6547619047619048,0.6666666666666666
48,0.753968253968254,0.2857142857142857,0.546957671957672,1.0
49,0.7526455026455027,0.6666666666666666,0.7162698412698413,0.6666666666666666
50,0.7533068783068783,0.47619047619047616,0.4722222222222222,0.5238095238095238
51,0.7552910052910053,0.38095238095238093,0.580026455026455,0.6666666666666666
52,0.7506613756613757,0.5238095238095238,0.5601851851851852,0.5714285714285714
53,0.7546296296296297,0.9523809523809523,0.6375661375661376,0.8095238095238095
54,0.7632275132275133,0.0,0.7142857142857143,0.5714285714285714
55,0.7579365079365079,0.0,0.44312169312169314,0.47619047619047616
56,0.7506613756613757,0.9047619047619048,0.6402116402116402,1.0
57,0.748015873015873,1.0,0.6798941798941799,1.0
58,0.7433862433862434,0.9047619047619048,0.5291005291005291,0.8095238095238095
59,0.7566137566137566,0.23809523809523808,0.48478835978835977,0.8095238095238095
60,0.7493386243386243,0.9523809523809523,0.6825396825396826,1.0
61,0.7513227513227513,0.9047619047619048,0.5615079365079365,1.0
62,0.7698412698412699,0.2857142857142857,0.6507936507936508,0.9523809523809523
63,0.7698412698412699,0.09523809523809523,0.5502645502645502,0.9047619047619048
64,0.7645502645502645,0.23809523809523808,0.576058201058201,0.7142857142857143
65,0.7645502645502645,0.19047619047619047,0.6785714285714286,0.5238095238095238
66,0.7705026455026455,0.14285714285714285,0.5370370370370371,0.8571428571428571
67,0.7619047619047619,0.19047619047619047,0.546957671957672,0.6666666666666666
68,0.7585978835978836,0.42857142857142855,0.6865079365079365,0.9047619047619048
69,0.7559523809523809,0.14285714285714285,0.5661375661375662,0.9523809523809523
70,0.7619047619047619,0.42857142857142855,0.7202380952380952,0.8095238095238095
71,0.7572751322751323,0.5714285714285714,0.6461640211640212,1.0
72,0.7572751322751323,0.7619047619047619,0.6130952380952381,1.0
