,Train,Valid,Test
0,0.9695207892882312,0.9635499207606973,0.20606060606060606
1,0.9531442663378545,0.9429477020602218,0.9573170731707317
2,0.9589499647639183,0.9540412044374009,0.7090909090909091
3,0.9535129424194401,0.9492868462757528,0.5185185185185185
4,0.9505194576509949,0.9445324881141046,0.8765432098765432
5,0.9564834390415786,0.9461172741679873,0.9939393939393939
6,0.9533286368439592,0.9508716323296355,0.27607361963190186
7,0.9592195464932326,0.9605055292259084,0.94
8,0.9621278844460102,0.9540412044374009,0.5060975609756098
9,0.9598450158506516,0.9524564183835182,0.4171779141104294
10,0.9570195525805884,0.9334389857369255,1.0
11,0.9577613516367476,0.9319620253164557,0.2721518987341772
12,0.9556025369978859,0.9477020602218701,1.0
13,0.9568661971830986,0.935126582278481,0.83125
14,0.9591261451726568,0.9381933438985737,0.7212121212121212
15,0.9528002817893625,0.9381933438985737,1.0
16,0.9492600422832981,0.93026941362916,1.0
17,0.9538407329105003,0.9445324881141046,0.9757575757575757
18,0.9575405214940098,0.9477020602218701,0.896969696969697
19,0.9537198742577716,0.9340659340659341,1.0
20,0.9511251758087201,0.9319620253164557,0.881578947368421
21,0.9538407329105003,0.9413629160063391,0.6242424242424243
22,0.9545454545454546,0.9445324881141046,0.21818181818181817
23,0.956338028169014,0.9224683544303798,0.48125
24,0.9575480007045974,0.9445324881141046,0.6524390243902439
25,0.9645939756913863,0.9540412044374009,0.2073170731707317
26,0.9545454545454546,0.936608557844691,1.0
27,0.9511980267794221,0.9350237717908082,0.9515151515151515
28,0.9552501761804087,0.9318541996830428,1.0
29,0.9612403100775194,0.9461172741679873,0.6424242424242425
30,0.9589499647639183,0.9413629160063391,0.23636363636363636
31,0.954369274136716,0.9381933438985737,1.0
32,0.9513913349771046,0.9397781299524565,1.0
33,0.9529598308668076,0.9318541996830428,0.9030303030303031
34,0.9515759816869167,0.9429477020602218,0.7222222222222222
35,0.9533121916842847,0.9318541996830428,1.0
36,0.9540169133192389,0.9381933438985737,1.0
37,0.9554499031519633,0.9318541996830428,0.7160493827160493
38,0.9605425400739828,0.9477020602218701,0.7378048780487805
39,0.9568434032059187,0.9461172741679873,0.8048780487804879
