,Train,Test,P value,Train GA,Test GA,P value GA
0,0.751984126984127,1.0,0.001,0.7308201058201058,1.0,0.001
1,0.7546296296296297,0.23809523809523808,0.019,0.6792328042328042,0.42857142857142855,0.108
2,0.75,1.0,0.002,0.593915343915344,1.0,0.553
3,0.7486772486772487,0.9047619047619048,0.002,0.7314814814814815,1.0,0.954
4,0.75,0.6666666666666666,0.008,0.7566137566137566,0.7619047619047619,0.793
5,0.7579365079365079,0.5238095238095238,0.007,0.6408730158730159,0.7142857142857143,0.511
6,0.7513227513227513,1.0,0.002,0.7083333333333334,1.0,0.091
7,0.7486772486772487,0.9523809523809523,0.005,0.753968253968254,0.9523809523809523,0.907
8,0.7619047619047619,0.42857142857142855,0.006,0.6448412698412699,0.9523809523809523,0.86
9,0.7638888888888888,0.38095238095238093,0.0,0.7612433862433863,0.38095238095238093,0.282
10,0.7493386243386243,0.9523809523809523,0.005,0.7341269841269841,0.9047619047619048,0.001
11,0.7493386243386243,0.9523809523809523,0.005,0.7513227513227513,1.0,0.591
12,0.75,0.8571428571428571,0.006,0.7526455026455027,0.8571428571428571,0.097
13,0.7599206349206349,0.19047619047619047,0.002,0.6164021164021164,0.7619047619047619,0.0
14,0.7566137566137566,0.47619047619047616,0.059,0.7136243386243386,0.9047619047619048,0.008
15,0.7619047619047619,0.0,0.248,0.5734126984126984,0.42857142857142855,0.679
16,0.7619047619047619,0.09523809523809523,0.006,0.6051587301587301,0.5714285714285714,0.724
17,0.75,0.9523809523809523,0.03,0.75,0.9523809523809523,0.0
18,0.7559523809523809,0.8571428571428571,0.063,0.5734126984126984,1.0,0.185
19,0.75,1.0,0.012,0.6891534391534392,1.0,0.008
20,0.751984126984127,0.9523809523809523,0.004,0.6011904761904762,1.0,0.355
21,0.7559523809523809,0.9047619047619048,0.02,0.7400793650793651,1.0,0.018
22,0.7526455026455027,0.9523809523809523,0.002,0.7506613756613757,0.9523809523809523,0.045
23,0.7506613756613757,1.0,0.011,0.7546296296296297,1.0,0.042
24,0.7486772486772487,1.0,0.032,0.6904761904761905,1.0,0.0
25,0.75,1.0,0.049,0.7400793650793651,1.0,0.0
26,0.7526455026455027,0.8571428571428571,0.024,0.6335978835978836,0.8571428571428571,0.001
27,0.7473544973544973,1.0,0.03,0.6957671957671958,1.0,0.0
28,0.7506613756613757,1.0,0.016,0.7175925925925926,1.0,0.006
29,0.748015873015873,1.0,0.026,0.707010582010582,1.0,0.955
30,0.7572751322751323,0.2857142857142857,0.069,0.6455026455026455,0.8095238095238095,0.816
31,0.75,1.0,0.006,0.5998677248677249,1.0,0.035
32,0.751984126984127,0.7619047619047619,0.012,0.7354497354497355,0.9047619047619048,0.019
33,0.7533068783068783,0.9523809523809523,0.0,0.7486772486772487,1.0,0.033
34,0.7526455026455027,1.0,0.02,0.7374338624338624,1.0,0.0
35,0.7526455026455027,0.9047619047619048,0.009,0.6335978835978836,1.0,0.079
36,0.75,0.9523809523809523,0.023,0.7347883597883598,1.0,0.261
37,0.7493386243386243,0.8095238095238095,0.01,0.7255291005291006,1.0,0.005
38,0.7533068783068783,0.42857142857142855,0.609,0.5833333333333334,0.8571428571428571,0.012
39,0.7619047619047619,0.047619047619047616,0.022,0.703042328042328,0.47619047619047616,0.0
40,0.7592592592592593,0.2857142857142857,0.056,0.6097883597883598,0.9523809523809523,0.0
41,0.7559523809523809,0.9047619047619048,0.182,0.6917989417989417,1.0,0.374
42,0.751984126984127,1.0,0.256,0.7414021164021164,1.0,0.0
43,0.7572751322751323,0.8571428571428571,0.148,0.6402116402116402,1.0,0.037
44,0.7579365079365079,0.9047619047619048,0.046,0.6990740740740741,1.0,0.038
45,0.7585978835978836,0.23809523809523808,0.159,0.5740740740740741,0.5714285714285714,0.024
